"","country","year","ciri","cow","polity","unctry","unreg","unsubreg","human_rights_score","physint_sum","repression_sum","civpol_sum","workerrights_practices_sum","workerrights_laws_sum","disap","kill","polpris","tort","bbatrocity","bbatrocity_intensity","assn","formov","dommov","speech","elecsd","rel_free","wecon","wopol","wosoc_p","union_p","barg_p","hour_p","force_p","child_p","wage_p","safe_p","trafficking_p","injud","ngo_freedom","trial_p","wosoc_l","union_l","barg_l","hour_l","force_l","child_l","wage_l","safe_l","trafficking_l","trial_l","avg_kill3","avg_disap3","avg_polpris3","avg_tort3","avg_bbatrocity_intensity3","avg_speech3","avg_rel_free3","avg_dommov3","avg_formov3","avg_assn3","avg_elecsd3","avg_wopol3","avg_wosoc_l3","avg_wosoc_p3","avg_wecon3","avg_union_l3","avg_union_p3","avg_barg_l3","avg_barg_p3","avg_force_l3","avg_force_p3","avg_child_l3","avg_child_p3","avg_wage_l3","avg_wage_p3","avg_safe_l3","avg_safe_p3","avg_hour_l3","avg_hour_p3","avg_trafficking_l3","avg_trafficking_p3","avg_trial_l3","avg_trial_p3","avg_injud3","wopol_two","wecon_two","wosoc_two","trial_two","atrocity_hrscore","hrscore","hrscorex2"
"3612","Mauritius",2000,440,590,590,480,2,14,NA,6,14,6,7,11,2,1,2,1,0,NA,2,2,2,2,2,2,1,2,NA,1,1,1,1,1,1,1,1,2,NA,2,NA,2,1,1,2,2,1,2,1,3,1.33333333333333,2,1.66666666666667,1,NA,2,2,2,2,1.66666666666667,2,1.66666666666667,NA,NA,1,2,1,1,1,2,1.66666666666667,2,1,1,1,2,1,1,1,1,1,NA,NA,2,1,NA,NA,1,2,32,64
"3613","Azerbaijan",2000,131,373,373,31,142,145,NA,4,5,1,5,8,2,1,1,0,0,NA,1,1,1,0,0,0,1,2,NA,1,0,1,1,1,1,0,0,0,NA,0,NA,1,1,2,1,1,1,1,0,2,1.33333333333333,2,0.666666666666667,0.333333333333333,NA,0.666666666666667,0,1,1,0.666666666666667,0.333333333333333,2,NA,NA,1,1.66666666666667,1,1,0,0.666666666666667,1.33333333333333,1,1,1,1,1,0,1.66666666666667,1,NA,NA,1.33333333333333,0,0,1,NA,NA,NA,2,15,30
"3614","Malawi",2000,419,553,553,454,2,14,NA,7,11,4,3,10,2,2,2,1,0,NA,1,2,2,1,1,2,1,2,NA,1,1,0,1,0,0,0,0,1,NA,0,NA,2,1,1,2,1,1,2,0,3,1.66666666666667,2,1.66666666666667,1,NA,1,2,2,2,1.66666666666667,1,1.66666666666667,NA,NA,1,2,1,1,1,2,1,1,0,1,0,2,0,1,0.333333333333333,0,0,NA,NA,1,1,NA,NA,NA,2,23,46
"3615","Japan",2000,359,740,740,392,142,30,NA,7,14,6,11,13,2,2,2,1,0,NA,2,2,2,2,2,2,1,2,NA,2,1,1,1,2,2,2,1,2,NA,1,NA,2,1,2,2,2,2,2,2,1,2,2,2,1,NA,2,2,2,2,2,2,2,NA,NA,1.66666666666667,2,2,1,1,2,1.33333333333333,2,2,2,2,2,2,2,1.33333333333333,2,1,1,0.666666666666667,2,1,NA,NA,NA,2,36,72
"3616","Papua New Guinea",2000,506,910,910,598,9,54,NA,6,13,5,8,9,2,1,2,1,0,NA,1,2,2,2,2,2,1,1,NA,1,2,1,2,1,0,1,2,2,NA,2,NA,1,2,1,2,1,1,1,0,3,1,2,2,0.666666666666667,NA,2,2,2,2,1.33333333333333,2,1,NA,NA,1,1,1,2,1.66666666666667,2,2,1,1,1,0,1,1,1,1,0,2,NA,NA,2,NA,NA,NA,1,2,32,64
"3617","Central African Republic",2000,200,482,482,140,2,17,NA,3,7,4,6,9,2,1,0,0,0,NA,1,1,0,1,1,2,1,2,NA,2,1,1,1,0,1,0,2,1,NA,0,NA,2,1,1,1,2,1,1,0,3,1,2,1,0,NA,1,2,0.333333333333333,1,1,1,2,NA,NA,1,2,2,1,1,1,1,2,0,1.33333333333333,1.33333333333333,1,0,1,1,NA,NA,3,0.666666666666667,1,1,NA,NA,NA,2,21,42
"3618","Togo",2000,629,461,461,768,2,11,NA,5,8,2,3,10,2,1,1,1,0,NA,0,1,0,0,0,2,2,2,NA,1,1,0,0,0,0,1,0,0,NA,1,NA,2,2,1,0,2,1,2,0,3,1,2,1,0.333333333333333,NA,0,2,0,0.333333333333333,0.333333333333333,0.666666666666667,2,NA,NA,1.33333333333333,2,1,2,1,0,0,2,0,1,0,2,1,1,0,0,0,NA,NA,0,1,1,NA,NA,2,15,30
"3619","France",2000,287,220,220,250,150,155,NA,6,13,5,14,14,2,2,2,0,0,NA,2,2,2,2,2,1,2,2,NA,2,2,2,2,2,2,2,1,2,NA,2,NA,2,2,2,2,2,2,2,2,3,2,2,2,0,NA,2,1,2,2,2,2,2,NA,NA,2.33333333333333,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.33333333333333,1,3,2,2,1,1,NA,1,2,39,78
"3620","Sudan",2000,599,625,625,736,2,15,NA,0,0,0,2,8,0,0,0,0,1,3,0,0,0,0,0,0,0,1,NA,0,0,1,0,0,1,0,0,0,NA,0,NA,1,0,1,2,2,1,1,1,1,0,0,0,0,3,0,0,0.666666666666667,0,0,0,1,NA,NA,0.666666666666667,0.666666666666667,0,0,0,2,0,2,0,1,1,1,0,1,1,1,0,NA,NA,0,NA,NA,NA,NA,0,2,4
"3621","Norway",2000,491,385,385,578,150,154,NA,8,16,5,14,14,2,2,2,2,0,NA,2,2,2,2,2,1,2,3,NA,2,2,2,2,2,2,2,1,2,NA,3,NA,2,2,2,2,2,2,2,2,3,2,2,2,2,NA,2,1.33333333333333,2,2,2,2,3,NA,NA,2,2,1.33333333333333,2,2,2,2,2,2,2,2,2,2,2,2,2,1,NA,NA,2,2,1,NA,2,2,43,86
"3622","Croatia",2000,230,344,344,191,150,39,NA,6,11,4,10,11,1,2,2,1,0,NA,2,1,1,1,1,1,1,2,NA,2,1,1,2,2,1,1,0,1,NA,1,NA,2,1,1,2,2,1,2,0,2,1.66666666666667,1.66666666666667,1.66666666666667,1,NA,0.666666666666667,1,1,1,1.33333333333333,1,2,NA,NA,1.33333333333333,2,2,1,1,2,2,2,2,1,1,2,1,1,1,NA,NA,1.66666666666667,0.333333333333333,1,1,NA,NA,NA,2,27,54
"3623","Tonga",2000,632,955,955,776,9,61,NA,NA,NA,NA,2,5,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,2,NA,NA,NA,0,0,2,0,0,0,0,NA,2,NA,2,NA,1,0,2,2,0,0,0,NA,2,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,1,0,0,0,2,0,0,0,0,0,0,0,2,2,NA,NA,NA,NA,2,NA,NA,NA,1,NA,11,22
"3624","Cuba",2000,233,40,40,192,419,29,NA,4,4,0,3,4,2,1,0,1,0,NA,0,1,1,0,0,0,2,2,NA,0,0,1,0,1,1,0,2,0,NA,0,NA,0,0,1,0,1,1,1,2,0,1.33333333333333,2,0,0.333333333333333,NA,0,0,1,1,0,0,2,NA,NA,2,0,0,0,0,0,0,1,1,1,1,1,0,1,1,NA,NA,0,0,0,1,1,NA,NA,2,15,30
"3625","El Salvador",2000,266,92,92,222,419,13,NA,6,12,6,5,7,2,2,2,0,0,NA,2,2,2,2,2,2,1,2,NA,1,1,1,1,0,1,0,0,1,NA,0,NA,1,1,1,1,1,1,1,1,3,1.66666666666667,2,2,0,NA,2,2,2,2,2,1.66666666666667,2,NA,NA,1.33333333333333,1,1,1,1,1,1,1,0,1,1,1,0.666666666666667,1,1,NA,NA,2.66666666666667,0,1,1,NA,NA,NA,2,27,54
"3626","Korea, Democratic People's Republic of",2000,374,731,731,408,142,30,NA,0,0,0,3,4,0,0,0,0,1,3,0,0,0,0,0,0,1,2,NA,0,0,1,0,1,1,0,1,0,NA,0,NA,0,0,1,1,1,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,2,NA,NA,1,0,0,0,0,0.333333333333333,0,1,1,1,1,0,0,1,0.333333333333333,NA,NA,0.666666666666667,0,0,1,NA,NA,NA,0,5,10
"3627","Dominican Republic",2000,254,42,42,214,419,29,NA,4,8,4,5,10,2,0,2,0,1,1,1,2,2,2,2,1,1,2,NA,1,1,1,1,0,1,0,0,1,NA,0,NA,2,1,1,2,2,1,1,2,3,0,2,1.33333333333333,0,1.33333333333333,1.66666666666667,1,2,1.66666666666667,1.33333333333333,1.66666666666667,2,NA,NA,1,2,1,1,1,2,0.333333333333333,2,0,1,1,1,0,1,0.666666666666667,1.33333333333333,0,2.66666666666667,0.333333333333333,1,1,NA,NA,NA,0,21,42
"3628","Tunisia",2000,638,616,616,788,2,15,NA,3,4,1,10,11,2,1,0,0,0,NA,0,1,1,0,0,1,2,2,NA,1,2,1,2,1,1,2,2,0,NA,0,NA,2,1,1,2,1,2,2,2,1,1.66666666666667,2,0.333333333333333,0.333333333333333,NA,0.333333333333333,1,1,1,0.666666666666667,0.333333333333333,2,NA,NA,2,2,1,1,2,2,2,1,1,2,1,2,2,1,1,1,2,NA,NA,0,1,1,NA,NA,2,22,44
"3629","Tuvalu",2000,647,947,947,798,9,61,NA,NA,NA,NA,11,13,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,2,NA,NA,NA,1,2,2,2,1,2,1,NA,2,NA,3,NA,2,2,2,2,1,2,2,NA,3,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,2,1.33333333333333,2,2,2,2,1,1,2,2,2,1,2,2,NA,NA,NA,NA,2,NA,NA,NA,2,NA,21,42
"3630","Lebanon",2000,392,660,660,422,142,145,NA,NA,NA,NA,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,0,0,0,1,2,NA,NA,1,NA,1,2,1,0,0,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,1.33333333333333,0,0.666666666666667,0,0,1,0,1,1,1,1,1,2,2,0.666666666666667,NA,NA,NA,NA,NA,NA,7,14
"3631","Moldova",2000,449,359,359,498,150,151,NA,5,9,4,8,12,2,2,1,0,0,NA,2,1,2,2,2,0,2,2,NA,2,1,2,2,0,1,0,0,1,NA,0,NA,2,1,2,2,2,1,2,2,2,2,2,1,1,NA,1.33333333333333,0.666666666666667,2,1,2,1.66666666666667,1.66666666666667,NA,NA,2,2,2,1,1,2,2,2,0.666666666666667,1,0.666666666666667,2,0,2,1.66666666666667,2,0.333333333333333,NA,NA,1.33333333333333,1,1,NA,NA,2,27,54
"3632","Jamaica",2000,356,51,51,388,419,29,NA,7,14,5,8,7,2,2,2,1,0,NA,2,2,2,2,2,1,2,2,NA,1,1,2,2,0,1,1,2,2,NA,2,NA,2,0,2,0,1,1,1,0,3,1.33333333333333,2,2,1,NA,2,1.66666666666667,2,2,2,2,2,NA,NA,1.66666666666667,2,1,0,1,0,2,1,0.333333333333333,1,1,1,1,2,2,0.333333333333333,2,2.33333333333333,1,2,1,1,NA,1,2,35,70
"3633","Thailand",2000,626,800,800,764,142,35,NA,5,9,3,1,8,2,1,1,1,0,NA,1,2,2,1,1,1,2,2,NA,0,0,1,0,0,0,0,0,1,NA,1,NA,1,1,1,1,2,1,1,2,2,1.66666666666667,2,1,1,NA,1,1.33333333333333,2,2,1.66666666666667,1.66666666666667,2,NA,NA,2,1,0,1,0,1,0,2,0,1,0,1,0,1,0.333333333333333,1.66666666666667,0,NA,NA,1,1,1,NA,NA,2,19,38
"3634","Ireland",2000,347,205,205,372,150,154,NA,8,17,6,12,12,2,2,2,2,0,NA,2,2,2,2,2,2,2,2,NA,2,2,1,2,2,1,2,2,2,NA,3,NA,2,2,1,2,2,1,2,2,3,2,2,1.66666666666667,2,NA,1.33333333333333,2,2,2,2,2,2,NA,NA,2,2,2,2,2,2,2,2,2,1,1,2,2,1,1,2,1.33333333333333,2.66666666666667,1.33333333333333,2,1,1,NA,2,2,42,84
"3635","Comoros",2000,215,581,581,174,2,14,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,0,NA,NA,NA,1,1,1,0,1,0,0,NA,0,NA,0,NA,1,1,1,0,1,0,0,NA,1,NA,NA,NA,NA,NA,NA,0.333333333333333,1.33333333333333,1.33333333333333,NA,NA,NA,NA,NA,NA,1,1,1,1,0,0,1,1,0.333333333333333,0.333333333333333,0,0,1,1,NA,NA,0.666666666666667,0.333333333333333,0.333333333333333,NA,NA,NA,NA,NA,5,10
"3636","Denmark",2000,245,390,390,208,150,154,NA,7,16,6,13,13,2,2,2,1,0,NA,2,2,2,2,2,2,2,3,NA,2,2,1,2,2,2,2,1,2,NA,3,NA,2,2,1,2,2,2,2,2,3,2,2,2,1.66666666666667,NA,2,2,2,2,2,2,3,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1.33333333333333,0.666666666666667,3,3,2,2,1,NA,2,2,42,84
"3637","Dominica",2000,251,54,54,212,419,29,NA,NA,NA,NA,10,11,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,2,NA,NA,NA,2,1,1,2,1,1,2,NA,2,NA,2,NA,2,2,1,2,1,1,2,NA,3,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,2,2,2,1,2,2,1,1,1,1,2,2,1.33333333333333,1.33333333333333,NA,NA,2.66666666666667,2.33333333333333,2,NA,NA,NA,1,NA,19,38
"3638","Zambia",2000,695,551,551,894,2,14,NA,5,9,4,6,10,2,1,2,0,0,NA,1,1,1,1,0,2,1,2,NA,1,1,2,1,0,1,0,2,2,NA,0,NA,2,1,2,1,2,1,1,1,2,1.33333333333333,2,1.33333333333333,0,NA,1,2,1,1,0.666666666666667,0.666666666666667,2,NA,NA,1,2,1,1,1,1,1,2,0,1,1,1,0,1.66666666666667,1.66666666666667,0.333333333333333,2,NA,NA,2,1,NA,NA,NA,2,24,48
"3639","Ethiopia",2000,278,530,529,231,2,14,NA,2,6,4,5,9,1,0,0,1,1,1,1,1,1,1,2,2,1,2,NA,1,1,1,1,0,1,0,1,1,NA,0,NA,1,1,1,2,2,1,1,1,2,1,1.33333333333333,0.333333333333333,0.666666666666667,NA,1,1,0.666666666666667,0.666666666666667,1,1.66666666666667,2,NA,NA,1,1,1,1,1,2,0.666666666666667,2,0,1,0.666666666666667,1,0.333333333333333,1,1,NA,NA,1.66666666666667,0,1,1,NA,NA,NA,0,18,36
"3640","Australia",2000,125,900,900,36,9,53,NA,7,16,6,13,11,2,2,2,1,0,NA,2,2,2,2,2,2,2,2,NA,2,1,2,2,2,2,2,0,2,NA,3,NA,2,1,2,0,2,2,2,1,3,2,2,2,1,NA,2,2,2,2,2,2,2,NA,NA,2,2,2,1,1,0,2,2,2,2,2,2,2,2,2,NA,NA,3,3,2,1,1,NA,2,2,40,80
"3641","Vanuatu",2000,671,935,935,548,9,54,NA,NA,NA,NA,8,8,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,2,NA,NA,NA,1,1,1,2,1,1,1,NA,2,NA,2,NA,1,1,1,2,1,1,1,NA,3,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,1,1,1.33333333333333,1.33333333333333,2,2,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1.66666666666667,NA,NA,NA,1,NA,17,34
"3642","Russia",2000,530,365,365,643,150,151,NA,2,5,3,3,12,1,0,1,0,1,1,2,1,0,1,2,0,1,1,NA,0,0,1,1,1,0,0,1,1,NA,0,NA,2,1,2,2,2,1,2,2,2,0,1.66666666666667,1,0,1,1,0,0,1,1.66666666666667,2,1.66666666666667,NA,NA,1,2,0,1,0,2,1,2,1,1,0.666666666666667,2,0,2,0.666666666666667,2,1,NA,NA,1,NA,NA,NA,NA,0,13,26
"3643","Guyana",2000,320,110,110,328,419,5,NA,6,13,6,7,8,2,1,2,1,0,NA,2,2,2,2,2,2,1,2,NA,1,2,1,2,1,0,0,1,1,NA,1,NA,1,2,1,2,1,0,1,0,2,1.66666666666667,2,2,1.33333333333333,NA,1.66666666666667,2,2,2,1.66666666666667,1.66666666666667,2,NA,NA,1.66666666666667,1,1,1.66666666666667,2,2,2,1,1,0.666666666666667,0,1,0,1,0.666666666666667,NA,NA,2.33333333333333,0.666666666666667,1,1,NA,NA,NA,2,30,60
"3644","Mauritania",2000,437,435,435,478,2,11,NA,6,9,2,7,11,2,2,1,1,0,NA,1,2,1,0,0,1,2,1,NA,2,2,1,0,1,0,1,2,1,NA,1,NA,2,2,1,2,1,1,2,2,2,1.33333333333333,2,1,1.33333333333333,NA,0.333333333333333,0.666666666666667,1,2,1.33333333333333,0.333333333333333,1,NA,NA,2,2,2,2,2,2,0,1,1,1,0.333333333333333,2,1,1,1,2,1.66666666666667,NA,NA,1,NA,1,NA,NA,2,24,48
"3645","Singapore",2000,572,830,830,702,142,35,NA,6,10,2,8,8,2,2,1,1,0,NA,0,1,1,1,1,1,2,2,NA,1,2,1,1,1,0,2,1,1,NA,2,NA,1,2,1,1,1,0,2,2,2,2,2,1.33333333333333,1,NA,1,1,1,1,0,1,1.66666666666667,NA,NA,2,1,1,2,2,1,1,1,1,0,0,2,2,1,1,2,1,NA,NA,1,1,1,NA,1,2,26,52
"3646","Mongolia",2000,455,712,712,496,142,30,NA,6,12,5,8,12,2,1,2,1,0,NA,2,2,1,2,2,1,3,2,NA,2,1,2,1,0,1,1,0,1,NA,1,NA,2,1,2,2,2,1,2,0,1,1.33333333333333,2,2,1,NA,2,0.666666666666667,1.66666666666667,2,2,2,2,NA,NA,2.33333333333333,2,2,1,1,2,1,2,0,1,1,2,1,1.66666666666667,1.66666666666667,0.333333333333333,0.666666666666667,NA,NA,1.66666666666667,1,2,NA,NA,2,30,60
"3647","Ukraine",2000,653,369,369,804,150,151,NA,4,8,3,5,11,1,2,1,0,0,NA,1,1,1,1,1,1,1,2,NA,1,1,2,0,1,0,0,0,1,NA,1,NA,1,1,2,2,2,1,2,2,2,2,1.66666666666667,1.66666666666667,0,NA,1,1,1,1,0.666666666666667,1,2,NA,NA,1,1.33333333333333,1,1,1,2,1,2,1,1,0,2,0,2,1.66666666666667,1.33333333333333,0,NA,NA,1,1,NA,NA,NA,2,19,38
"3648","Tanzania",2000,623,510,510,834,2,14,NA,3,6,2,4,8,2,0,0,1,1,1,1,0,1,0,2,1,1,2,NA,1,0,1,1,0,0,1,1,1,NA,1,NA,1,1,1,2,1,1,1,0,2,1,2,0.666666666666667,0.333333333333333,NA,0.666666666666667,1,0.333333333333333,0.666666666666667,0.666666666666667,1.66666666666667,2,NA,NA,1,1,0.333333333333333,1,0,1.33333333333333,0.333333333333333,1,0,1,0,1,1,1,1,0.333333333333333,0.666666666666667,NA,NA,1,1,NA,NA,NA,0,15,30
"3649","Cambodia",2000,188,811,811,116,142,35,NA,4,7,3,1,8,1,1,2,0,0,NA,1,2,2,1,1,1,1,2,NA,0,0,1,0,0,0,0,0,0,NA,0,NA,1,1,1,2,1,1,1,1,2,0.333333333333333,0.666666666666667,1.33333333333333,0,NA,1.33333333333333,1.33333333333333,2,2,1.33333333333333,1.33333333333333,2,NA,NA,1,1,0.666666666666667,1,0.666666666666667,2,0,1,0,1,0,1,0,1,0.666666666666667,1.33333333333333,0,2,0,0,1,NA,NA,NA,2,16,32
"3650","Kenya",2000,368,501,501,404,2,14,NA,2,4,1,5,9,2,0,0,0,1,2,0,0,0,1,1,0,1,1,NA,0,0,1,1,1,1,1,2,1,NA,1,NA,1,1,1,1,2,1,2,1,0,0,1.66666666666667,0,0,2,1,0.333333333333333,1,0,0,0.666666666666667,1,NA,NA,1,1,0,1,0,1,1,2,1,1,1,2,1,1,0.666666666666667,1,1.33333333333333,0,0.333333333333333,1,NA,NA,NA,NA,0,12,24
"3651","Andorra",2000,110,232,232,20,150,39,NA,NA,NA,NA,6,6,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,2,NA,NA,NA,0,0,1,2,1,1,1,NA,1,NA,3,NA,1,0,1,0,2,1,1,NA,3,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,1,0.666666666666667,0,0,0,2,2,1,1,1,1,1,1,1,NA,NA,3,3,1,NA,NA,NA,2,NA,15,30
"3652","Colombia",2000,212,100,100,170,419,5,NA,0,7,6,2,9,0,0,0,0,1,3,2,2,2,2,1,2,1,2,NA,0,0,1,0,0,1,0,0,1,NA,1,NA,1,1,1,2,1,1,2,0,2,0,0,0,0,3,1.33333333333333,2,1.66666666666667,2,2,1.33333333333333,2,NA,NA,1,1,0.666666666666667,1,0,2,0.666666666666667,1,0,1,1,2,0,1,1,NA,NA,2.33333333333333,0.333333333333333,1,1,NA,NA,NA,0,15,30
"3653","Sierra Leone",2001,569,451,451,694,2,11,NA,4,9,5,3,6,2,0,2,0,1,1,1,1,1,2,1,2,1,2,NA,1,1,0,0,0,1,0,1,1,NA,0,NA,1,1,0,1,1,1,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,0,1.33333333333333,0,1,1,1,0,0,0,0,1,NA,NA,NA,1,NA,NA,NA,0,18,36
"3654","Taiwan",2001,617,713,713,NA,142,30,NA,6,12,6,10,9,2,2,2,0,0,NA,2,2,2,2,2,2,2,2,NA,1,1,1,2,2,2,1,0,1,NA,0,NA,1,1,1,2,2,1,1,1,3,2,2,2,0.333333333333333,NA,1.66666666666667,2,2,2,2,2,2,NA,NA,1.33333333333333,1,1,1,1,2,2,2,2,1,2,1,1,1,1,1,0.666666666666667,NA,NA,1,1,1,NA,NA,2,33,66
"3655","Latvia",2001,389,367,367,428,150,154,NA,6,11,4,8,12,2,2,2,0,0,NA,1,2,2,2,2,1,1,2,NA,1,2,1,2,1,1,0,0,1,NA,1,NA,2,2,2,2,1,1,2,0,3,2,2,2,0.666666666666667,NA,2,1.66666666666667,2,2,1,2,2,NA,NA,1,2,1,2,2,2,1.66666666666667,1,1,1,1,2,0,2,1.66666666666667,0.666666666666667,0.666666666666667,2.66666666666667,0.666666666666667,1,1,NA,NA,NA,2,28,56
"3656","Qatar",2001,524,694,694,634,142,145,NA,7,8,0,0,1,2,2,2,1,0,NA,0,2,2,0,0,0,2,0,NA,0,0,0,0,0,0,0,NA,1,NA,1,NA,0,0,0,0,1,0,0,NA,2,NA,NA,NA,NA,NA,NA,0.666666666666667,2,2,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,1,NA,1,NA,NA,2,15,30
"3657","Greece",2001,305,350,350,300,150,39,NA,6,10,3,8,11,2,2,2,0,0,NA,2,1,2,1,2,0,2,2,NA,2,1,1,0,1,2,1,0,2,NA,1,NA,2,1,2,2,1,2,1,2,1,2,2,2,0.666666666666667,NA,1.33333333333333,0.333333333333333,1.66666666666667,1,2,2,2,NA,NA,2,2,2,1,1,2,0.666666666666667,1,1,2,2,1,1,2,1.66666666666667,2,0.333333333333333,1.33333333333333,1,2,1,1,NA,NA,2,28,56
"3658","Papua New Guinea",2001,506,910,910,598,9,54,NA,5,11,4,7,9,2,1,2,0,0,NA,0,2,2,2,2,2,1,1,NA,1,1,1,2,1,0,1,2,2,NA,2,NA,1,2,1,2,1,1,1,0,3,1,2,2,0.333333333333333,NA,2,2,2,2,0.666666666666667,2,1,NA,NA,1,1,1,2,1.33333333333333,2,2,1,1,1,0,1,1,1,1,0,2,NA,NA,2,NA,NA,NA,1,2,29,58
"3659","Ecuador",2001,260,130,130,218,419,5,NA,4,9,5,6,9,1,1,2,0,0,NA,2,1,1,1,2,2,1,2,NA,1,1,1,1,0,1,1,1,1,NA,0,NA,1,1,2,2,1,1,1,1,3,1.33333333333333,1.33333333333333,1.66666666666667,0,NA,1,2,1.33333333333333,1,1.33333333333333,1.33333333333333,2,NA,NA,1,1,1,1,1,2,1.33333333333333,1,0,1,1,1,0.333333333333333,2,1.66666666666667,0.666666666666667,1.66666666666667,3,0,1,1,NA,NA,NA,2,24,48
"3660","Russia",2001,530,365,365,643,150,151,NA,1,4,3,3,12,0,0,1,0,1,2,2,1,0,1,2,0,1,2,NA,0,0,1,0,1,1,0,0,1,NA,0,NA,2,1,2,2,2,1,2,2,2,0,1,1,0,1.33333333333333,1,0,0,1,1.66666666666667,2,1.66666666666667,NA,NA,1,2,0,1,0,2,0.666666666666667,2,1,1,0.666666666666667,2,0,2,0.666666666666667,2,0.666666666666667,NA,NA,1,1,NA,NA,NA,0,12,24
"3661","Turkey",2001,641,640,640,792,142,145,NA,2,4,2,6,9,1,1,0,0,0,NA,1,1,0,1,1,0,2,2,NA,1,1,0,2,0,1,1,0,1,NA,0,NA,1,1,1,2,1,1,2,1,3,0.333333333333333,1.33333333333333,0,0,NA,0.666666666666667,0.666666666666667,0,1,0.666666666666667,1,2,NA,NA,1.66666666666667,1,1,1,1,2,2,1,0,1,1,2,1,1,0.666666666666667,1,0,NA,NA,1,1,1,NA,NA,2,17,34
"3662","South Africa",2001,587,560,560,710,2,18,NA,5,11,5,8,10,2,0,2,1,0,NA,2,2,2,1,2,2,2,3,NA,2,1,1,1,1,1,1,0,2,NA,1,NA,2,1,1,2,2,1,1,2,3,0.333333333333333,1.33333333333333,2,0.666666666666667,NA,1,2,2,2,2,2,3,NA,NA,2,2,2,1,1,2,1,2,1,1,1,1,1,1,1,2,0,NA,NA,2,2,1,NA,NA,2,31,62
"3663","Samoa",2001,545,990,990,882,9,61,NA,8,16,6,11,12,2,2,2,2,0,NA,2,2,2,2,1,2,2,1,NA,2,2,2,1,2,1,1,NA,2,NA,2,NA,2,2,2,2,2,1,1,NA,3,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,2,2,2,2,2,1,2,2,1,1,1,1,2,2,NA,NA,NA,NA,2,NA,1,NA,1,2,36,72
"3664","Cambodia",2001,188,811,811,116,142,35,NA,5,10,5,1,8,2,1,2,0,0,NA,1,2,2,2,1,2,1,2,NA,0,0,1,0,0,0,0,0,0,NA,0,NA,1,1,1,2,1,1,1,2,2,0.666666666666667,1.33333333333333,2,0,NA,1.66666666666667,1.66666666666667,2,2,1.33333333333333,1.33333333333333,2,NA,NA,1,1,0.333333333333333,1,0.333333333333333,2,0,1,0,1,0,1,0,1,1,1.66666666666667,0,2,0,0,1,NA,NA,NA,2,19,38
"3665","Philippines",2001,515,840,840,608,142,35,NA,2,8,6,6,10,1,1,0,0,0,NA,2,2,1,2,2,2,1,2,NA,1,1,1,2,0,0,1,0,1,NA,0,NA,2,1,1,2,2,1,1,0,2,0.666666666666667,0.666666666666667,0,0,NA,1.66666666666667,2,1.66666666666667,2,1.66666666666667,1.66666666666667,2,NA,NA,1.33333333333333,2,1,1,1,2,2,2,0,1,0,1,1,1,1,0,0,NA,NA,1,1,NA,NA,NA,2,23,46
"3666","New Zealand",2001,479,920,920,554,9,53,NA,8,17,6,13,13,2,2,2,2,0,NA,2,2,2,2,2,2,2,3,NA,2,2,1,2,2,2,2,0,2,NA,3,NA,2,2,1,2,2,2,2,2,3,2,2,2,2,NA,2,2,2,2,2,2,3,NA,NA,2,2,2,2,2,2,2,2,2,2,1.33333333333333,2,2,1,1.33333333333333,2,0.333333333333333,NA,NA,2,2,1,NA,2,2,42,84
"3667","Kuwait",2001,380,690,690,414,142,145,NA,6,9,2,3,9,2,2,1,1,0,NA,0,0,2,1,0,1,1,0,NA,0,0,1,1,1,0,0,2,1,NA,1,NA,1,1,1,1,2,1,2,1,1,2,2,0.333333333333333,1,NA,1,1,2,0,0,0,0,NA,NA,1,1,0,1,0,1,0.666666666666667,1.33333333333333,1.66666666666667,1,0,2,0,1,1,0.333333333333333,2,1.33333333333333,0.666666666666667,1,NA,NA,NA,NA,2,18,36
